PROCEDENCIA/DESTINO,Total,Pinar del Río,Artemisa,La Habana,Mayabeque,Matanzas,Villa Clara,Cienfuegos,Sancti Spíritus,Ciego de Ávila,Camagüey,Las Tunas,Holguín,Granma,Santiago de Cuba,Guantánamo,Isla de la Juventud
Holguín,8951,69,579,2887,570,843,232,212,294,636,555,722,-,398,540,312,102
Hombres,4585,39,333,1454,324,439,131,93,160,323,277,344,-,195,258,154,61
Mujeres,4366,30,246,1433,246,404,101,119,134,313,278,378,-,203,282,158,41
Granma,9666,90,1056,2692,1093,1188,229,204,259,704,559,296,507,-,577,109,103
Hombres,4762,47,548,1252,564,619,124,99,123,362,268,144,237,-,263,53,59
Mujeres,4904,43,508,1440,529,569,105,105,136,342,291,152,270,-,314,56,44
Santiago de Cuba,9817,67,974,3285,599,1195,187,251,182,545,533,232,676,541,-,454,96
Hombres,4871,43,527,1573,303,616,93,125,93,291,257,116,302,275,-,205,52
Mujeres,4946,24,447,1712,296,579,94,126,89,254,276,116,374,266,-,249,44
Guantánamo,6974,69,609,2157,651,709,121,128,191,482,426,124,474,144,568,-,121
Hombres,3510,37,355,1033,327,371,67,61,105,241,215,56,232,75,264,-,71
Mujeres,3464,32,254,1124,324,338,54,67,86,241,211,68,242,69,304,-,50
Isla de la Juventud,1337,49,81,617,103,69,26,27,14,25,51,60,67,39,66,43,-
Hombres,668,28,44,288,58,28,15,11,9,15,23,29,45,20,37,18,-
Mujeres,669,21,37,329,45,41,11,16,5,10,28,31,22,19,29,25,-
2017,,,,,,,,,,,,,,,,,
Cuba,76300,,,,,,,,,,,,,,,,
Hombres,38764,,,,,,,,,,,,,,,,
Mujeres,37536,,,,,,,,,,,,,,,,
Pinar del Río,1443,-,487,385,60,64,19,28,25,22,42,30,71,69,50,43,48
Hombres,735,-,255,191,34,32,6,12,17,14,22,14,42,34,28,11,23
Mujeres,708,-,232,194,26,32,13,16,8,8,20,16,29,35,22,32,25
Artemisa,6570,1079,-,1024,266,124,102,66,67,118,272,255,566,1042,877,587,125
Hombres,3473,517,-,518,133,67,53,33,32,61,160,139,314,568,494,315,69
Mujeres,3097,562,-,506,133,57,49,33,35,57,112,116,252,474,383,272,56
La Habana,21868,1282,1815,-,1721,913,908,473,441,660,1414,1032,3038,2562,2946,2062,601
Hombres,10765,568,923,-,903,471,457,226,222,326,697,523,1509,1196,1407,1063,274
Mujeres,11103,714,892,-,818,442,451,247,219,334,717,509,1529,1366,1539,999,327
Mayabeque,5422,128,245,926,-,310,78,61,66,128,241,213,533,1154,596,632,111
Hombres,2817,52,116,473,-,175,41,31,32,63,139,114,292,585,308,345,51
Mujeres,2605,76,129,453,-,135,37,30,34,65,102,99,241,569,288,287,60
Matanzas,7483,125,122,562,377,-,810,260,277,237,544,364,711,1138,1108,764,84
Hombres,3886,61,64,292,200,-,422,150,137,119,266,197,373,611,561,382,51
Mujeres,3597,64,58,270,177,-,388,110,140,118,278,167,338,527,547,382,33
Villa Clara,3238,44,49,410,48,315,-,466,679,198,170,137,185,203,185,114,35
Hombres,1621,19,31,210,22,157,-,223,342,100,93,75,95,86,94,60,14
Mujeres,1617,25,18,200,26,158,-,243,337,98,77,62,90,117,91,54,21
Cienfuegos,2328,32,60,226,36,236,510,-,202,98,159,84,171,142,209,149,14
Hombres,1153,15,28,111,19,115,258,-,94,45,87,52,81,65,106,73,4
Mujeres,1175,17,32,115,17,121,252,-,108,53,72,32,90,77,103,76,10
Sancti Spíritus,3133,31,60,300,50,143,640,198,-,367,314,144,261,250,185,175,15
Hombres,1601,17,37,152,27,78,315,111,-,202,145,86,135,123,89,76,8
Mujeres,1532,14,23,148,23,65,325,87,-,165,169,58,126,127,96,99,7
Ciego de Ávila,4076,20,54,270,78,96,172,48,348,-,704,242,490,645,495,386,28
Hombres,2091,9,30,140,45,47,90,28,182,-,358,124,234,332,258,201,13
Mujeres,1985,11,24,130,33,49,82,20,166,-,346,118,256,313,237,185,15
Camagüey,4462,39,96,459,116,183,125,113,160,507,-,768,521,499,476,366,34
Hombres,2227,19,55,234,71,98,63,49,69,258,-,388,265,233,220,188,17
Mujeres,2235,20,41,225,45,85,62,64,91,249,-,380,256,266,256,178,17
Las Tunas,2654,28,88,262,89,118,159,53,75,95,475,-,557,266,214,130,45
Hombres,1312,16,52,138,50,55,83,30,37,50,249,-,253,118,104,53,24
Mujeres,1342,12,36,124,39,63,76,23,38,45,226,-,304,148,110,77,21
Holguín,3913,29,137,505,213,231,88,74,139,255,363,531,-,439,477,389,43
Hombres,2031,18,88,269,118,119,45,41,68,146,187,273,-,214,239,179,27
Mujeres,1882,11,49,236,95,112,43,33,71,109,176,258,-,225,238,210,16
Granma,3084,44,212,477,274,217,61,31,87,174,260,211,373,-,467,136,60
Hombres,1610,24,110,248,153,122,34,19,45,95,138,107,191,-,216,75,33
Mujeres,1474,20,102,229,121,95,27,12,42,79,122,104,182,-,251,61,27
Santiago de Cuba,3648,81,206,647,162,247,53,104,66,199,268,164,446,475,-,477,53
Hombres,1869,41,106,364,94,138,30,46,35,106,139,75,228,222,-,223,22
Mujeres,1779,40,100,283,68,109,23,58,31,93,129,89,218,253,-,254,31
Guantánamo,2093,26,132,317,153,146,33,39,65,156,140,80,263,111,377,-,55
Hombres,1101,17,69,207,84,69,11,20,27,88,77,30,142,50,182,-,28
Mujeres,992,9,63,110,69,77,22,19,38,68,63,50,121,61,195,-,27
Isla de la Juventud,885,66,41,196,48,25,13,13,12,38,36,54,93,91,76,83,-
Hombres,472,34,20,107,20,12,9,6,5,17,17,28,53,54,44,46,-
Mujeres,413,32,21,89,28,13,4,7,7,21,19,26,40,37,32,37,-
2018,,,,,,,,,,,,,,,,,
Cuba,72539,,,,,,,,,,,,,,,,
Hombres,36616,,,,,,,,,,,,,,,,
Mujeres,35923,,,,,,,,,,,,,,,,423
